,alpha,betawi,betabt,lmda,cond,trial,acc
0,10.000,10.000,10.000,0.910,blocked,0,0.5
1,10.000,10.000,10.000,0.910,blocked,1,0.6460530452671693
2,10.000,10.000,10.000,0.910,blocked,2,0.6438692757176006
3,10.000,10.000,10.000,0.910,blocked,3,0.666483760125269
4,10.000,10.000,10.000,0.910,blocked,4,0.6946390098892427
5,10.000,10.000,10.000,0.910,blocked,5,0.7181233071106482
6,10.000,10.000,10.000,0.910,blocked,6,0.789079332304662
7,10.000,10.000,10.000,0.910,blocked,7,0.8282129259770349
8,10.000,10.000,10.000,0.910,blocked,8,0.8329509438038276
9,10.000,10.000,10.000,0.910,blocked,9,0.8070784935699838
10,10.000,10.000,10.000,0.910,blocked,10,0.8625562572933002
11,10.000,10.000,10.000,0.910,blocked,11,0.8287351946089
12,10.000,10.000,10.000,0.910,blocked,12,0.8439295856823587
13,10.000,10.000,10.000,0.910,blocked,13,0.8594758830160383
14,10.000,10.000,10.000,0.910,blocked,14,0.887745967232459
15,10.000,10.000,10.000,0.910,blocked,15,0.8843550347508411
16,10.000,10.000,10.000,0.910,blocked,16,0.8884057160729715
17,10.000,10.000,10.000,0.910,blocked,17,0.9179796349365981
18,10.000,10.000,10.000,0.910,blocked,18,0.9207884517205016
19,10.000,10.000,10.000,0.910,blocked,19,0.905123280155275
20,10.000,10.000,10.000,0.910,blocked,20,0.9060505948597065
21,10.000,10.000,10.000,0.910,blocked,21,0.902686666282288
22,10.000,10.000,10.000,0.910,blocked,22,0.9104037556898156
23,10.000,10.000,10.000,0.910,blocked,23,0.9236753140117893
24,10.000,10.000,10.000,0.910,blocked,24,0.9173073590413753
25,10.000,10.000,10.000,0.910,blocked,25,0.9290543441225901
26,10.000,10.000,10.000,0.910,blocked,26,0.9308911512403263
27,10.000,10.000,10.000,0.910,blocked,27,0.9307601819626357
28,10.000,10.000,10.000,0.910,blocked,28,0.9324966634847229
29,10.000,10.000,10.000,0.910,blocked,29,0.932566851244698
30,10.000,10.000,10.000,0.910,blocked,30,0.9344588272262775
31,10.000,10.000,10.000,0.910,blocked,31,0.9324799313152892
32,10.000,10.000,10.000,0.910,blocked,32,0.9346342596748682
33,10.000,10.000,10.000,0.910,blocked,33,0.9371851721980782
34,10.000,10.000,10.000,0.910,blocked,34,0.9359128145378652
35,10.000,10.000,10.000,0.910,blocked,35,0.9355556022675886
36,10.000,10.000,10.000,0.910,blocked,36,0.9372998562357122
37,10.000,10.000,10.000,0.910,blocked,37,0.9362938466280198
38,10.000,10.000,10.000,0.910,blocked,38,0.9381141866671081
39,10.000,10.000,10.000,0.910,blocked,39,0.9382588997313056
40,10.000,10.000,10.000,0.910,blocked,40,0.06103405790430986
41,10.000,10.000,10.000,0.910,blocked,41,0.07126827163896796
42,10.000,10.000,10.000,0.910,blocked,42,0.08079228368291633
43,10.000,10.000,10.000,0.910,blocked,43,0.0885274175746102
44,10.000,10.000,10.000,0.910,blocked,44,0.10084981253674337
45,10.000,10.000,10.000,0.910,blocked,45,0.10903166227111606
46,10.000,10.000,10.000,0.910,blocked,46,0.12486747388007474
47,10.000,10.000,10.000,0.910,blocked,47,0.1367309421883472
48,10.000,10.000,10.000,0.910,blocked,48,0.12678524959286203
49,10.000,10.000,10.000,0.910,blocked,49,0.1529921322180729
50,10.000,10.000,10.000,0.910,blocked,50,0.15660151304591965
51,10.000,10.000,10.000,0.910,blocked,51,0.18075037781935638
52,10.000,10.000,10.000,0.910,blocked,52,0.1876085570012338
53,10.000,10.000,10.000,0.910,blocked,53,0.19101428791374797
54,10.000,10.000,10.000,0.910,blocked,54,0.22349694504305614
55,10.000,10.000,10.000,0.910,blocked,55,0.20881137511606856
56,10.000,10.000,10.000,0.910,blocked,56,0.24050415891544297
57,10.000,10.000,10.000,0.910,blocked,57,0.22252622899179653
58,10.000,10.000,10.000,0.910,blocked,58,0.26584832814028525
59,10.000,10.000,10.000,0.910,blocked,59,0.278499499897259
60,10.000,10.000,10.000,0.910,blocked,60,0.2878422763698185
61,10.000,10.000,10.000,0.910,blocked,61,0.3161431459578794
62,10.000,10.000,10.000,0.910,blocked,62,0.26943612776755216
63,10.000,10.000,10.000,0.910,blocked,63,0.31794816272803333
64,10.000,10.000,10.000,0.910,blocked,64,0.318426370228712
65,10.000,10.000,10.000,0.910,blocked,65,0.33877991843849636
66,10.000,10.000,10.000,0.910,blocked,66,0.3470208432903211
67,10.000,10.000,10.000,0.910,blocked,67,0.32755394747148536
68,10.000,10.000,10.000,0.910,blocked,68,0.38317778869965735
69,10.000,10.000,10.000,0.910,blocked,69,0.39621191495690417
70,10.000,10.000,10.000,0.910,blocked,70,0.3987095864589839
71,10.000,10.000,10.000,0.910,blocked,71,0.3863231472190731
72,10.000,10.000,10.000,0.910,blocked,72,0.3856444947681787
73,10.000,10.000,10.000,0.910,blocked,73,0.42203163600152854
74,10.000,10.000,10.000,0.910,blocked,74,0.4344279393630152
75,10.000,10.000,10.000,0.910,blocked,75,0.41116641738601073
76,10.000,10.000,10.000,0.910,blocked,76,0.4464502371689428
77,10.000,10.000,10.000,0.910,blocked,77,0.46687936482316106
78,10.000,10.000,10.000,0.910,blocked,78,0.46461942907146603
79,10.000,10.000,10.000,0.910,blocked,79,0.47896935708589866
80,10.000,10.000,10.000,0.910,blocked,80,0.5211888291076007
81,10.000,10.000,10.000,0.910,blocked,81,0.5532379429291151
82,10.000,10.000,10.000,0.910,blocked,82,0.5532623055482571
83,10.000,10.000,10.000,0.910,blocked,83,0.5597076073567194
84,10.000,10.000,10.000,0.910,blocked,84,0.5574510565388732
85,10.000,10.000,10.000,0.910,blocked,85,0.5625482424855068
86,10.000,10.000,10.000,0.910,blocked,86,0.5676184061781592
87,10.000,10.000,10.000,0.910,blocked,87,0.5669474750657097
88,10.000,10.000,10.000,0.910,blocked,88,0.5532734195455821
89,10.000,10.000,10.000,0.910,blocked,89,0.5775474454033899
90,10.000,10.000,10.000,0.910,blocked,90,0.6093761043966802
91,10.000,10.000,10.000,0.910,blocked,91,0.6012283519021882
92,10.000,10.000,10.000,0.910,blocked,92,0.5984718341439901
93,10.000,10.000,10.000,0.910,blocked,93,0.6145384289696685
94,10.000,10.000,10.000,0.910,blocked,94,0.6280664546335416
95,10.000,10.000,10.000,0.910,blocked,95,0.6178955164004126
96,10.000,10.000,10.000,0.910,blocked,96,0.6304987269555474
97,10.000,10.000,10.000,0.910,blocked,97,0.6394325503771217
98,10.000,10.000,10.000,0.910,blocked,98,0.6483213168382327
99,10.000,10.000,10.000,0.910,blocked,99,0.6561482524085851
100,10.000,10.000,10.000,0.910,blocked,100,0.6551816657844395
101,10.000,10.000,10.000,0.910,blocked,101,0.6736251375556013
102,10.000,10.000,10.000,0.910,blocked,102,0.671110405197863
103,10.000,10.000,10.000,0.910,blocked,103,0.6585709319337327
104,10.000,10.000,10.000,0.910,blocked,104,0.6745867986663241
105,10.000,10.000,10.000,0.910,blocked,105,0.6850997380928188
106,10.000,10.000,10.000,0.910,blocked,106,0.6769577891668809
107,10.000,10.000,10.000,0.910,blocked,107,0.6978464140482064
108,10.000,10.000,10.000,0.910,blocked,108,0.6999328643801975
109,10.000,10.000,10.000,0.910,blocked,109,0.6986610581469722
110,10.000,10.000,10.000,0.910,blocked,110,0.6971546200301456
111,10.000,10.000,10.000,0.910,blocked,111,0.6944088182943939
112,10.000,10.000,10.000,0.910,blocked,112,0.7109741863688492
113,10.000,10.000,10.000,0.910,blocked,113,0.7048708575181305
114,10.000,10.000,10.000,0.910,blocked,114,0.7242927656044416
115,10.000,10.000,10.000,0.910,blocked,115,0.7225022262656868
116,10.000,10.000,10.000,0.910,blocked,116,0.7241989427696545
117,10.000,10.000,10.000,0.910,blocked,117,0.7222181438667689
118,10.000,10.000,10.000,0.910,blocked,118,0.730226599922815
119,10.000,10.000,10.000,0.910,blocked,119,0.7380028170741584
120,10.000,10.000,10.000,0.910,blocked,120,0.26804430263687795
121,10.000,10.000,10.000,0.910,blocked,121,0.2605977386500088
122,10.000,10.000,10.000,0.910,blocked,122,0.2894929974836946
123,10.000,10.000,10.000,0.910,blocked,123,0.29087534688631267
124,10.000,10.000,10.000,0.910,blocked,124,0.2984978054671579
125,10.000,10.000,10.000,0.910,blocked,125,0.29893568328929804
126,10.000,10.000,10.000,0.910,blocked,126,0.31400789226574716
127,10.000,10.000,10.000,0.910,blocked,127,0.3040423598673042
128,10.000,10.000,10.000,0.910,blocked,128,0.31029415962957063
129,10.000,10.000,10.000,0.910,blocked,129,0.32239865534788337
130,10.000,10.000,10.000,0.910,blocked,130,0.327918314665309
131,10.000,10.000,10.000,0.910,blocked,131,0.3457698789235569
132,10.000,10.000,10.000,0.910,blocked,132,0.3388581094582286
133,10.000,10.000,10.000,0.910,blocked,133,0.3348468637743509
134,10.000,10.000,10.000,0.910,blocked,134,0.3710322788565455
135,10.000,10.000,10.000,0.910,blocked,135,0.35311343935368683
136,10.000,10.000,10.000,0.910,blocked,136,0.3580637704979467
137,10.000,10.000,10.000,0.910,blocked,137,0.3743046883916794
138,10.000,10.000,10.000,0.910,blocked,138,0.3781283892007867
139,10.000,10.000,10.000,0.910,blocked,139,0.3811301538334569
140,10.000,10.000,10.000,0.910,blocked,140,0.38548462806563827
141,10.000,10.000,10.000,0.910,blocked,141,0.3948733859492252
142,10.000,10.000,10.000,0.910,blocked,142,0.40216226683041073
143,10.000,10.000,10.000,0.910,blocked,143,0.392437589482272
144,10.000,10.000,10.000,0.910,blocked,144,0.3923418838600934
145,10.000,10.000,10.000,0.910,blocked,145,0.40842761366803515
146,10.000,10.000,10.000,0.910,blocked,146,0.42105686411431315
147,10.000,10.000,10.000,0.910,blocked,147,0.41113818441154754
148,10.000,10.000,10.000,0.910,blocked,148,0.43207987983014534
149,10.000,10.000,10.000,0.910,blocked,149,0.4207714106833926
150,10.000,10.000,10.000,0.910,blocked,150,0.4504680385643712
151,10.000,10.000,10.000,0.910,blocked,151,0.4337061192165834
152,10.000,10.000,10.000,0.910,blocked,152,0.44968402097273574
153,10.000,10.000,10.000,0.910,blocked,153,0.45302704737617355
154,10.000,10.000,10.000,0.910,blocked,154,0.4553575480054347
155,10.000,10.000,10.000,0.910,blocked,155,0.4433597041046067
156,10.000,10.000,10.000,0.910,blocked,156,0.43933131157349004
157,10.000,10.000,10.000,0.910,blocked,157,0.4606438961701745
158,10.000,10.000,10.000,0.910,blocked,158,0.4828597145391428
159,10.000,10.000,10.000,0.910,blocked,159,0.453312819237292
160,10.000,10.000,10.000,0.910,blocked,160,0.5022142951934693
161,10.000,10.000,10.000,0.910,blocked,161,0.5330355370787586
162,10.000,10.000,10.000,0.910,blocked,162,0.5397099998021617
163,10.000,10.000,10.000,0.910,blocked,163,0.48366210072305804
164,10.000,10.000,10.000,0.910,blocked,164,0.4958118739116493
165,10.000,10.000,10.000,0.910,blocked,165,0.5337017427979821
166,10.000,10.000,10.000,0.910,blocked,166,0.5086052364290228
167,10.000,10.000,10.000,0.910,blocked,167,0.544082124512449
168,10.000,10.000,10.000,0.910,blocked,168,0.4905590527295061
169,10.000,10.000,10.000,0.910,blocked,169,0.5448294238015974
170,10.000,10.000,10.000,0.910,blocked,170,0.501422006509873
171,10.000,10.000,10.000,0.910,blocked,171,0.5358333203152426
172,10.000,10.000,10.000,0.910,blocked,172,0.5404698526416254
173,10.000,10.000,10.000,0.910,blocked,173,0.530374550581544
174,10.000,10.000,10.000,0.910,blocked,174,0.5084893997875161
175,10.000,10.000,10.000,0.910,blocked,175,0.506334840455397
176,10.000,10.000,10.000,0.910,blocked,176,0.49997815119044586
177,10.000,10.000,10.000,0.910,blocked,177,0.46955255225928
178,10.000,10.000,10.000,0.910,blocked,178,0.5005477318807926
179,10.000,10.000,10.000,0.910,blocked,179,0.4710252594768896
180,10.000,10.000,10.000,0.910,blocked,180,0.5304363582731022
181,10.000,10.000,10.000,0.910,blocked,181,0.5151478512108048
182,10.000,10.000,10.000,0.910,blocked,182,0.5395660362487401
183,10.000,10.000,10.000,0.910,blocked,183,0.5120713821913246
184,10.000,10.000,10.000,0.910,blocked,184,0.5276595705036959
185,10.000,10.000,10.000,0.910,blocked,185,0.5086117868707674
186,10.000,10.000,10.000,0.910,blocked,186,0.531325413755771
187,10.000,10.000,10.000,0.910,blocked,187,0.4693452464821107
188,10.000,10.000,10.000,0.910,blocked,188,0.5415762931750887
189,10.000,10.000,10.000,0.910,blocked,189,0.5253649201256884
190,10.000,10.000,10.000,0.910,blocked,190,0.46342110417113175
191,10.000,10.000,10.000,0.910,blocked,191,0.5310943941912573
192,10.000,10.000,10.000,0.910,blocked,192,0.5032486091680757
193,10.000,10.000,10.000,0.910,blocked,193,0.5378906574033905
194,10.000,10.000,10.000,0.910,blocked,194,0.49449215915910444
195,10.000,10.000,10.000,0.910,blocked,195,0.4798883671333728
196,10.000,10.000,10.000,0.910,blocked,196,0.5359328710891523
197,10.000,10.000,10.000,0.910,blocked,197,0.5316180471677252
198,10.000,10.000,10.000,0.910,blocked,198,0.5054584381369358
199,10.000,10.000,10.000,0.910,blocked,199,0.49446156403773445
0,10.000,10.000,10.000,0.910,interleaved,0,0.5
1,10.000,10.000,10.000,0.910,interleaved,1,0.5
2,10.000,10.000,10.000,0.910,interleaved,2,0.5
3,10.000,10.000,10.000,0.910,interleaved,3,0.5
4,10.000,10.000,10.000,0.910,interleaved,4,0.5
5,10.000,10.000,10.000,0.910,interleaved,5,0.5
6,10.000,10.000,10.000,0.910,interleaved,6,0.5
7,10.000,10.000,10.000,0.910,interleaved,7,0.5
8,10.000,10.000,10.000,0.910,interleaved,8,0.5
9,10.000,10.000,10.000,0.910,interleaved,9,0.5
10,10.000,10.000,10.000,0.910,interleaved,10,0.5
11,10.000,10.000,10.000,0.910,interleaved,11,0.5
12,10.000,10.000,10.000,0.910,interleaved,12,0.5
13,10.000,10.000,10.000,0.910,interleaved,13,0.5
14,10.000,10.000,10.000,0.910,interleaved,14,0.5
15,10.000,10.000,10.000,0.910,interleaved,15,0.5
16,10.000,10.000,10.000,0.910,interleaved,16,0.5
17,10.000,10.000,10.000,0.910,interleaved,17,0.5
18,10.000,10.000,10.000,0.910,interleaved,18,0.5
19,10.000,10.000,10.000,0.910,interleaved,19,0.5
20,10.000,10.000,10.000,0.910,interleaved,20,0.5
21,10.000,10.000,10.000,0.910,interleaved,21,0.5
22,10.000,10.000,10.000,0.910,interleaved,22,0.5
23,10.000,10.000,10.000,0.910,interleaved,23,0.5
24,10.000,10.000,10.000,0.910,interleaved,24,0.5
25,10.000,10.000,10.000,0.910,interleaved,25,0.5
26,10.000,10.000,10.000,0.910,interleaved,26,0.5
27,10.000,10.000,10.000,0.910,interleaved,27,0.5
28,10.000,10.000,10.000,0.910,interleaved,28,0.5
29,10.000,10.000,10.000,0.910,interleaved,29,0.5
30,10.000,10.000,10.000,0.910,interleaved,30,0.5
31,10.000,10.000,10.000,0.910,interleaved,31,0.5
32,10.000,10.000,10.000,0.910,interleaved,32,0.5
33,10.000,10.000,10.000,0.910,interleaved,33,0.5
34,10.000,10.000,10.000,0.910,interleaved,34,0.5
35,10.000,10.000,10.000,0.910,interleaved,35,0.5
36,10.000,10.000,10.000,0.910,interleaved,36,0.5
37,10.000,10.000,10.000,0.910,interleaved,37,0.5
38,10.000,10.000,10.000,0.910,interleaved,38,0.5
39,10.000,10.000,10.000,0.910,interleaved,39,0.5
40,10.000,10.000,10.000,0.910,interleaved,40,0.5
41,10.000,10.000,10.000,0.910,interleaved,41,0.5
42,10.000,10.000,10.000,0.910,interleaved,42,0.5
43,10.000,10.000,10.000,0.910,interleaved,43,0.5
44,10.000,10.000,10.000,0.910,interleaved,44,0.5
45,10.000,10.000,10.000,0.910,interleaved,45,0.5
46,10.000,10.000,10.000,0.910,interleaved,46,0.5
47,10.000,10.000,10.000,0.910,interleaved,47,0.5
48,10.000,10.000,10.000,0.910,interleaved,48,0.5
49,10.000,10.000,10.000,0.910,interleaved,49,0.5
50,10.000,10.000,10.000,0.910,interleaved,50,0.5
51,10.000,10.000,10.000,0.910,interleaved,51,0.5
52,10.000,10.000,10.000,0.910,interleaved,52,0.5
53,10.000,10.000,10.000,0.910,interleaved,53,0.5
54,10.000,10.000,10.000,0.910,interleaved,54,0.5
55,10.000,10.000,10.000,0.910,interleaved,55,0.5
56,10.000,10.000,10.000,0.910,interleaved,56,0.5
57,10.000,10.000,10.000,0.910,interleaved,57,0.5
58,10.000,10.000,10.000,0.910,interleaved,58,0.5
59,10.000,10.000,10.000,0.910,interleaved,59,0.5
60,10.000,10.000,10.000,0.910,interleaved,60,0.5
61,10.000,10.000,10.000,0.910,interleaved,61,0.5
62,10.000,10.000,10.000,0.910,interleaved,62,0.5
63,10.000,10.000,10.000,0.910,interleaved,63,0.5
64,10.000,10.000,10.000,0.910,interleaved,64,0.5
65,10.000,10.000,10.000,0.910,interleaved,65,0.5
66,10.000,10.000,10.000,0.910,interleaved,66,0.5
67,10.000,10.000,10.000,0.910,interleaved,67,0.5
68,10.000,10.000,10.000,0.910,interleaved,68,0.5
69,10.000,10.000,10.000,0.910,interleaved,69,0.5
70,10.000,10.000,10.000,0.910,interleaved,70,0.5
71,10.000,10.000,10.000,0.910,interleaved,71,0.5
72,10.000,10.000,10.000,0.910,interleaved,72,0.5
73,10.000,10.000,10.000,0.910,interleaved,73,0.5
74,10.000,10.000,10.000,0.910,interleaved,74,0.5
75,10.000,10.000,10.000,0.910,interleaved,75,0.5
76,10.000,10.000,10.000,0.910,interleaved,76,0.5
77,10.000,10.000,10.000,0.910,interleaved,77,0.5
78,10.000,10.000,10.000,0.910,interleaved,78,0.5
79,10.000,10.000,10.000,0.910,interleaved,79,0.5
80,10.000,10.000,10.000,0.910,interleaved,80,0.5
81,10.000,10.000,10.000,0.910,interleaved,81,0.5
82,10.000,10.000,10.000,0.910,interleaved,82,0.5
83,10.000,10.000,10.000,0.910,interleaved,83,0.5
84,10.000,10.000,10.000,0.910,interleaved,84,0.5
85,10.000,10.000,10.000,0.910,interleaved,85,0.5
86,10.000,10.000,10.000,0.910,interleaved,86,0.5
87,10.000,10.000,10.000,0.910,interleaved,87,0.5
88,10.000,10.000,10.000,0.910,interleaved,88,0.5
89,10.000,10.000,10.000,0.910,interleaved,89,0.5
90,10.000,10.000,10.000,0.910,interleaved,90,0.5
91,10.000,10.000,10.000,0.910,interleaved,91,0.5
92,10.000,10.000,10.000,0.910,interleaved,92,0.5
93,10.000,10.000,10.000,0.910,interleaved,93,0.5
94,10.000,10.000,10.000,0.910,interleaved,94,0.5
95,10.000,10.000,10.000,0.910,interleaved,95,0.5
96,10.000,10.000,10.000,0.910,interleaved,96,0.5
97,10.000,10.000,10.000,0.910,interleaved,97,0.5
98,10.000,10.000,10.000,0.910,interleaved,98,0.5
99,10.000,10.000,10.000,0.910,interleaved,99,0.5
100,10.000,10.000,10.000,0.910,interleaved,100,0.5
101,10.000,10.000,10.000,0.910,interleaved,101,0.5
102,10.000,10.000,10.000,0.910,interleaved,102,0.5
103,10.000,10.000,10.000,0.910,interleaved,103,0.5
104,10.000,10.000,10.000,0.910,interleaved,104,0.5
105,10.000,10.000,10.000,0.910,interleaved,105,0.5
106,10.000,10.000,10.000,0.910,interleaved,106,0.5
107,10.000,10.000,10.000,0.910,interleaved,107,0.5
108,10.000,10.000,10.000,0.910,interleaved,108,0.5
109,10.000,10.000,10.000,0.910,interleaved,109,0.5
110,10.000,10.000,10.000,0.910,interleaved,110,0.5
111,10.000,10.000,10.000,0.910,interleaved,111,0.5
112,10.000,10.000,10.000,0.910,interleaved,112,0.5
113,10.000,10.000,10.000,0.910,interleaved,113,0.5
114,10.000,10.000,10.000,0.910,interleaved,114,0.5
115,10.000,10.000,10.000,0.910,interleaved,115,0.5
116,10.000,10.000,10.000,0.910,interleaved,116,0.5
117,10.000,10.000,10.000,0.910,interleaved,117,0.5
118,10.000,10.000,10.000,0.910,interleaved,118,0.5
119,10.000,10.000,10.000,0.910,interleaved,119,0.5
120,10.000,10.000,10.000,0.910,interleaved,120,0.5
121,10.000,10.000,10.000,0.910,interleaved,121,0.5
122,10.000,10.000,10.000,0.910,interleaved,122,0.5
123,10.000,10.000,10.000,0.910,interleaved,123,0.5
124,10.000,10.000,10.000,0.910,interleaved,124,0.5
125,10.000,10.000,10.000,0.910,interleaved,125,0.5
126,10.000,10.000,10.000,0.910,interleaved,126,0.5
127,10.000,10.000,10.000,0.910,interleaved,127,0.5
128,10.000,10.000,10.000,0.910,interleaved,128,0.5
129,10.000,10.000,10.000,0.910,interleaved,129,0.5
130,10.000,10.000,10.000,0.910,interleaved,130,0.5
131,10.000,10.000,10.000,0.910,interleaved,131,0.5
132,10.000,10.000,10.000,0.910,interleaved,132,0.5
133,10.000,10.000,10.000,0.910,interleaved,133,0.5
134,10.000,10.000,10.000,0.910,interleaved,134,0.5
135,10.000,10.000,10.000,0.910,interleaved,135,0.5
136,10.000,10.000,10.000,0.910,interleaved,136,0.5
137,10.000,10.000,10.000,0.910,interleaved,137,0.5
138,10.000,10.000,10.000,0.910,interleaved,138,0.5
139,10.000,10.000,10.000,0.910,interleaved,139,0.5
140,10.000,10.000,10.000,0.910,interleaved,140,0.5
141,10.000,10.000,10.000,0.910,interleaved,141,0.5
142,10.000,10.000,10.000,0.910,interleaved,142,0.5
143,10.000,10.000,10.000,0.910,interleaved,143,0.5
144,10.000,10.000,10.000,0.910,interleaved,144,0.5
145,10.000,10.000,10.000,0.910,interleaved,145,0.5
146,10.000,10.000,10.000,0.910,interleaved,146,0.5
147,10.000,10.000,10.000,0.910,interleaved,147,0.5
148,10.000,10.000,10.000,0.910,interleaved,148,0.5
149,10.000,10.000,10.000,0.910,interleaved,149,0.5
150,10.000,10.000,10.000,0.910,interleaved,150,0.5
151,10.000,10.000,10.000,0.910,interleaved,151,0.5
152,10.000,10.000,10.000,0.910,interleaved,152,0.5
153,10.000,10.000,10.000,0.910,interleaved,153,0.5
154,10.000,10.000,10.000,0.910,interleaved,154,0.5
155,10.000,10.000,10.000,0.910,interleaved,155,0.5
156,10.000,10.000,10.000,0.910,interleaved,156,0.5
157,10.000,10.000,10.000,0.910,interleaved,157,0.5
158,10.000,10.000,10.000,0.910,interleaved,158,0.5
159,10.000,10.000,10.000,0.910,interleaved,159,0.5
160,10.000,10.000,10.000,0.910,interleaved,160,0.5876318271603017
161,10.000,10.000,10.000,0.910,interleaved,161,0.5325889639914171
162,10.000,10.000,10.000,0.910,interleaved,162,0.5157284664545413
163,10.000,10.000,10.000,0.910,interleaved,163,0.5760781059026864
164,10.000,10.000,10.000,0.910,interleaved,164,0.5065977586187808
165,10.000,10.000,10.000,0.910,interleaved,165,0.5653902962335644
166,10.000,10.000,10.000,0.910,interleaved,166,0.5421265814980312
167,10.000,10.000,10.000,0.910,interleaved,167,0.4995669228790235
168,10.000,10.000,10.000,0.910,interleaved,168,0.5282301302340126
169,10.000,10.000,10.000,0.910,interleaved,169,0.47358733955805543
170,10.000,10.000,10.000,0.910,interleaved,170,0.5943633684170639
171,10.000,10.000,10.000,0.910,interleaved,171,0.41623008252853677
172,10.000,10.000,10.000,0.910,interleaved,172,0.5317703815751523
173,10.000,10.000,10.000,0.910,interleaved,173,0.5123299868942823
174,10.000,10.000,10.000,0.910,interleaved,174,0.545402720302856
175,10.000,10.000,10.000,0.910,interleaved,175,0.5368661404507463
176,10.000,10.000,10.000,0.910,interleaved,176,0.5643266368161877
177,10.000,10.000,10.000,0.910,interleaved,177,0.542947554621163
178,10.000,10.000,10.000,0.910,interleaved,178,0.4582685045782568
179,10.000,10.000,10.000,0.910,interleaved,179,0.48823251462826406
180,10.000,10.000,10.000,0.910,interleaved,180,0.4606294278077661
181,10.000,10.000,10.000,0.910,interleaved,181,0.46824258033449667
182,10.000,10.000,10.000,0.910,interleaved,182,0.5049098170006151
183,10.000,10.000,10.000,0.910,interleaved,183,0.47606323178905546
184,10.000,10.000,10.000,0.910,interleaved,184,0.4990411526651339
185,10.000,10.000,10.000,0.910,interleaved,185,0.4957858649451616
186,10.000,10.000,10.000,0.910,interleaved,186,0.5414793890230861
187,10.000,10.000,10.000,0.910,interleaved,187,0.48086416854629527
188,10.000,10.000,10.000,0.910,interleaved,188,0.5113718688782463
189,10.000,10.000,10.000,0.910,interleaved,189,0.5135717599018788
190,10.000,10.000,10.000,0.910,interleaved,190,0.5053110610321514
191,10.000,10.000,10.000,0.910,interleaved,191,0.5500831807786082
192,10.000,10.000,10.000,0.910,interleaved,192,0.5391304406887089
193,10.000,10.000,10.000,0.910,interleaved,193,0.5164602293011931
194,10.000,10.000,10.000,0.910,interleaved,194,0.5433791307134307
195,10.000,10.000,10.000,0.910,interleaved,195,0.517137505592056
196,10.000,10.000,10.000,0.910,interleaved,196,0.509389731107972
197,10.000,10.000,10.000,0.910,interleaved,197,0.4906080134682133
198,10.000,10.000,10.000,0.910,interleaved,198,0.5574632582010445
199,10.000,10.000,10.000,0.910,interleaved,199,0.5251888716883808
0,10.000,10.000,10.000,0.910,early,0,0.5
1,10.000,10.000,10.000,0.910,early,1,0.6460530452671693
2,10.000,10.000,10.000,0.910,early,2,0.6468494355261122
3,10.000,10.000,10.000,0.910,early,3,0.7107380151424414
4,10.000,10.000,10.000,0.910,early,4,0.7045838484472857
5,10.000,10.000,10.000,0.910,early,5,0.7486123919732348
6,10.000,10.000,10.000,0.910,early,6,0.7807450125735258
7,10.000,10.000,10.000,0.910,early,7,0.7925241945715836
8,10.000,10.000,10.000,0.910,early,8,0.7685315530907012
9,10.000,10.000,10.000,0.910,early,9,0.7869612718741655
10,10.000,10.000,10.000,0.910,early,10,0.8680437431262447
11,10.000,10.000,10.000,0.910,early,11,0.8731116210183829
12,10.000,10.000,10.000,0.910,early,12,0.8309145458454674
13,10.000,10.000,10.000,0.910,early,13,0.8435579425653446
14,10.000,10.000,10.000,0.910,early,14,0.8908841190106515
15,10.000,10.000,10.000,0.910,early,15,0.8659736802938179
16,10.000,10.000,10.000,0.910,early,16,0.906223004893929
17,10.000,10.000,10.000,0.910,early,17,0.911828551948257
18,10.000,10.000,10.000,0.910,early,18,0.920863669796105
19,10.000,10.000,10.000,0.910,early,19,0.9051537864204053
20,10.000,10.000,10.000,0.910,early,20,0.9244326452251821
21,10.000,10.000,10.000,0.910,early,21,0.9078849333223205
22,10.000,10.000,10.000,0.910,early,22,0.9164351098085504
23,10.000,10.000,10.000,0.910,early,23,0.9208271122258234
24,10.000,10.000,10.000,0.910,early,24,0.9207430749160284
25,10.000,10.000,10.000,0.910,early,25,0.9198703821836667
26,10.000,10.000,10.000,0.910,early,26,0.9229437836823144
27,10.000,10.000,10.000,0.910,early,27,0.9314191839342449
28,10.000,10.000,10.000,0.910,early,28,0.9331472073549781
29,10.000,10.000,10.000,0.910,early,29,0.9342740649741017
30,10.000,10.000,10.000,0.910,early,30,0.9259528451279911
31,10.000,10.000,10.000,0.910,early,31,0.9349316751898183
32,10.000,10.000,10.000,0.910,early,32,0.9355041043936242
33,10.000,10.000,10.000,0.910,early,33,0.9360877953728209
34,10.000,10.000,10.000,0.910,early,34,0.9284512739064366
35,10.000,10.000,10.000,0.910,early,35,0.9287759997238471
36,10.000,10.000,10.000,0.910,early,36,0.9366823379240523
37,10.000,10.000,10.000,0.910,early,37,0.9374746720074011
38,10.000,10.000,10.000,0.910,early,38,0.9391542105498716
39,10.000,10.000,10.000,0.910,early,39,0.9374125334003542
40,10.000,10.000,10.000,0.910,early,40,0.06112430369394424
41,10.000,10.000,10.000,0.910,early,41,0.07159531019159307
42,10.000,10.000,10.000,0.910,early,42,0.07977057976455112
43,10.000,10.000,10.000,0.910,early,43,0.09072239369868945
44,10.000,10.000,10.000,0.910,early,44,0.09738999130083588
